Process	CPU	Private Bytes	Working Set	PID	Description	Company Name
chrome.exe	< 0.01	1,75,516 K	1,71,060 K	26416	Google Chrome	Google LLC
 chrome.exe		2,380 K	8,216 K	27180	Google Chrome	Google LLC
 chrome.exe		1,78,236 K	46,336 K	16124	Google Chrome	Google LLC
 chrome.exe	< 0.01	21,176 K	29,164 K	27896	Google Chrome	Google LLC
 chrome.exe	< 0.01	10,280 K	9,132 K	12584	Google Chrome	Google LLC
 chrome.exe	< 0.01	45,696 K	51,288 K	26620	Google Chrome	Google LLC
 chrome.exe	< 0.01	41,768 K	25,752 K	11932	Google Chrome	Google LLC
 chrome.exe	< 0.01	26,992 K	16,528 K	12028	Google Chrome	Google LLC
 chrome.exe	< 0.01	58,808 K	29,300 K	9692	Google Chrome	Google LLC
 chrome.exe		17,116 K	19,576 K	1488	Google Chrome	Google LLC
 chrome.exe		19,224 K	10,708 K	20884	Google Chrome	Google LLC
 cmd.exe		1,924 K	3,892 K	6176	Windows Command Processor	Microsoft Corporation
  conhost.exe		5,812 K	8,208 K	23852	Console Window Host	Microsoft Corporation
  mc-extn-browserhost.exe		4,004 K	10,008 K	26696	McAfee Browser host process	McAfee, LLC
 cmd.exe		1,912 K	3,896 K	22132	Windows Command Processor	Microsoft Corporation
  conhost.exe		5,852 K	8,200 K	33568	Console Window Host	Microsoft Corporation
  browserhost.exe	< 0.01	5,520 K	11,656 K	21764	McAfee WebAdvisor(browser proxy)	McAfee, LLC
 chrome.exe		1,11,056 K	46,092 K	30532	Google Chrome	Google LLC
 chrome.exe	< 0.01	8,072 K	12,792 K	31000	Google Chrome	Google LLC
 chrome.exe	< 0.01	14,144 K	13,340 K	5636	Google Chrome	Google LLC
 chrome.exe		1,21,192 K	40,644 K	28136	Google Chrome	Google LLC
 chrome.exe	< 0.01	1,00,176 K	81,200 K	16464	Google Chrome	Google LLC
 ZipApp.exe		1,38,352 K	31,680 K	32612	ZipApp	
 chrome.exe	< 0.01	68,660 K	1,09,672 K	33120	Google Chrome	Google LLC
 ZipApp.exe		1,39,400 K	63,716 K	22812	ZipApp	
 chrome.exe		23,484 K	39,156 K	11448	Google Chrome	Google LLC
 chrome.exe		21,600 K	37,024 K	32820	Google Chrome	Google LLC
msedge.exe	< 0.01	1,12,976 K	1,31,844 K	15772	Microsoft Edge	Microsoft Corporation
 msedge.exe		2,260 K	8,528 K	11172	Microsoft Edge	Microsoft Corporation
 msedge.exe	< 0.01	4,41,816 K	3,82,144 K	20976	Microsoft Edge	Microsoft Corporation
 msedge.exe		19,164 K	35,744 K	29580	Microsoft Edge	Microsoft Corporation
 msedge.exe	< 0.01	7,388 K	8,980 K	2956	Microsoft Edge	Microsoft Corporation
 msedge.exe	< 0.01	17,292 K	16,800 K	20400	Microsoft Edge	Microsoft Corporation
 msedge.exe		21,056 K	22,556 K	32860	Microsoft Edge	Microsoft Corporation
 msedge.exe		40,424 K	25,756 K	23360	Microsoft Edge	Microsoft Corporation
 msedge.exe		7,752 K	10,388 K	33472	Microsoft Edge	Microsoft Corporation
 msedge.exe		7,088 K	10,304 K	5504	Microsoft Edge	Microsoft Corporation
 msedge.exe	< 0.01	25,596 K	19,936 K	13708	Microsoft Edge	Microsoft Corporation
 msedge.exe		18,644 K	27,136 K	31604	Microsoft Edge	Microsoft Corporation
 msedge.exe		19,208 K	43,472 K	26384	Microsoft Edge	Microsoft Corporation
 msedge.exe		15,112 K	20,688 K	13648	Microsoft Edge	Microsoft Corporation
 msedge.exe		48,260 K	86,148 K	33024	Microsoft Edge	Microsoft Corporation
 msedge.exe	< 0.01	70,368 K	1,16,680 K	25952	Microsoft Edge	Microsoft Corporation
 msedge.exe		33,980 K	63,548 K	7524	Microsoft Edge	Microsoft Corporation
 msedge.exe		21,488 K	39,388 K	10440	Microsoft Edge	Microsoft Corporation
msteams.exe		12,872 K	15,056 K	14980	Microsoft Teams	Microsoft Corporation
 msedgewebview2.exe		37,480 K	25,576 K	13892	Microsoft Edge WebView2	Microsoft Corporation
  msedgewebview2.exe		2,144 K	8,040 K	5872	Microsoft Edge WebView2	Microsoft Corporation
  msedgewebview2.exe	< 0.01	86,408 K	14,024 K	18944	Microsoft Edge WebView2	Microsoft Corporation
  msedgewebview2.exe		9,436 K	7,756 K	3420	Microsoft Edge WebView2	Microsoft Corporation
  msedgewebview2.exe		7,888 K	4,960 K	10200	Microsoft Edge WebView2	Microsoft Corporation
  msedgewebview2.exe	< 0.01	1,44,472 K	13,944 K	9792	Microsoft Edge WebView2	Microsoft Corporation
jusched.exe		1,412 K	8,100 K	10608	Java Update Scheduler	Oracle Corporation
Figma.exe	< 0.01	38,680 K	24,292 K	31524	Figma	Figma, Inc.
 Figma.exe		11,268 K	16,272 K	24980	Figma	Figma, Inc.
 Figma.exe	< 0.01	98,636 K	19,060 K	27372	Figma	Figma, Inc.
 Figma.exe	< 0.01	14,148 K	18,644 K	30992	Figma	Figma, Inc.
mmc.exe	< 0.01	54,040 K	43,060 K	18184		

